Latitude,Longitude,counts
-43.75,146.25,2
-43.75,146.75,2
-43.5,146.0,7
-43.5,146.25,2
-43.5,146.5,2
-43.5,146.75,2
-43.5,147.0,3
-43.5,147.25,1
-43.5,147.5,1
-43.25,145.75,8
-43.25,146.0,10
-43.25,147.25,19
-43.25,147.5,4
-43.25,147.75,3
-43.25,148.0,8
-43.0,145.5,2
-43.0,145.75,2
-43.0,147.25,19
-43.0,147.5,4
-43.0,148.0,8
-42.75,147.75,3
-42.75,148.0,20
-42.75,148.25,7
-42.5,148.0,19
-42.5,148.25,4
-42.25,145.25,2
-42.25,148.0,2
-42.25,148.25,11
-42.0,148.25,12
-41.75,148.25,11
-41.5,148.25,3
-41.25,146.25,4
-41.25,146.5,3
-41.25,148.25,8
-41.0,144.5,2
-41.0,144.75,3
-41.0,145.5,4
-41.0,145.75,2
-41.0,146.0,2
-41.0,146.25,2
-41.0,146.75,4
-41.0,147.0,3
-41.0,148.25,3
-40.75,145.25,2
-40.75,145.5,4
-40.75,147.5,3
-40.75,147.75,3
-40.75,148.0,3
-40.75,148.25,2
-40.5,148.25,2
-40.5,148.5,1
-40.25,144.0,2
-40.25,147.75,2
-40.25,148.0,2
-40.25,148.5,1
-40.0,143.75,2
-40.0,144.0,1
-40.0,144.25,1
-40.0,147.75,1
-40.0,148.25,2
-39.75,143.75,2
-39.75,144.25,2
-39.75,148.0,4
-39.5,146.75,6
-39.5,147.25,9
-39.5,147.5,8
-39.25,147.0,9
-39.0,146.25,6
-39.0,146.5,6
-38.75,143.75,4
-38.75,145.5,9
-38.75,145.75,10
-38.5,142.5,3
-38.5,144.0,2
-38.5,144.25,2
-38.5,145.0,5
-38.5,145.25,6
-38.25,144.25,4
-38.25,144.5,9
-38.25,144.75,9
-38.0,144.75,4
-38.0,145.0,4
-37.75,145.0,4
-37.75,148.75,2
-37.75,149.0,3
-37.75,149.25,5
-37.75,149.5,4
-37.5,149.75,3
-37.5,150.0,5
-37.25,139.75,1
-37.0,139.75,1
-37.0,150.0,2
-36.5,150.0,2
-36.25,150.25,2
-36.0,150.25,2
-35.75,138.0,4
-35.75,138.25,1
-35.75,138.5,2
-35.75,150.25,3
-35.5,137.5,1
-35.5,138.0,3
-35.5,138.25,4
-35.5,138.5,4
-35.5,138.75,3
-35.5,150.25,2
-35.5,150.5,2
-35.25,136.75,2
-35.25,137.0,2
-35.25,137.25,1
-35.25,137.75,1
-35.25,150.75,10
-35.0,136.0,1
-35.0,136.25,1
-35.0,137.0,2
-35.0,150.75,10
-34.75,136.0,1
-34.75,137.5,1
-34.5,115.25,1
-34.5,135.25,1
-34.5,136.25,1
-34.5,137.25,1
-34.5,137.5,1
-34.5,151.0,1
-34.25,115.0,1
-34.25,115.25,1
-34.25,122.25,1
-34.25,137.5,1
-34.0,115.0,1
-34.0,121.5,1
-34.0,122.0,1
-34.0,122.25,1
-34.0,122.75,1
-34.0,123.25,1
-34.0,137.5,1
-33.75,115.0,1
-33.75,134.5,1
-33.75,137.0,1
-33.75,137.25,1
-33.5,115.0,1
-33.5,134.75,1
-33.0,134.0,1
-33.0,134.25,1
-33.0,137.75,1
-32.75,134.0,1
-32.75,152.25,3
-32.5,133.25,1
-32.5,133.5,1
-32.5,133.75,1
-32.5,152.25,3
-32.25,133.5,1
-30.75,115.0,6
-30.75,115.25,6
-30.5,115.0,6
-30.25,115.0,6
-30.0,115.0,6
-27.25,153.5,1
